X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
30551.841627811,37079.5605686387,0,,MRT,BISHAN DEPOT,1.3516087877738,103.85624849881299
20177.0476435355,39987.7773685368,0,,LRT,BUKIT PANJANG LRT STATION,1.3779087277481044,103.76302362903533
21047.6245039066,40719.6191190029,0,,LRT,FAJAR LRT STATION,1.3845274579838038,103.77084622279145
33768.8108570801,38025.2734678982,0,,MRT,KOVAN MRT STATION,1.3601610273970042,103.88515518934366
31442.5819363303,37075.7755678491,0,,MRT,LORONG CHUAN MRT STATION,1.3515744683117596,103.86425236584562
28662.2891373378,36752.9474685267,0,,MRT,MARYMOUNT MRT STATION,1.3486551165570835,103.83926966099128
26691.3698981294,27517.5500675951,0,,MRT,HARBOURFRONT MRT STATION,1.2651334182098133,103.82156010811178
23252.9602003094,32076.6908171212,0,,MRT,BUONA VISTA MRT STATION,1.3063643493944357,103.7906641866793
28699.8137723415,35528.6547683002,0,,MRT,CALDECOTT MRT STATION,1.337583047367875,103.83960681506714
30622.4763142422,31306.8052686044,0,,MRT,BUGIS MRT STATION,1.29940202974579,103.85688270317213
42698.6893286346,35025.8301872964,0,,MRT,BOCC,1.3330321247096035,103.96539453965973
28538.3625566424,32865.9861685832,0,,MRT,NEWTON MRT STATION,1.313502818065317,103.83815603487866
29348.686627601,32582.8856683001,0,,MRT,HALIFAX SUB STATION CABLE TROUGH,1.310942532278192,103.84543718790114
29221.9176643602,29684.7673179378,0,,MRT,CHINATOWN MRT STATION,1.2847329752924261,103.8442979939288
30167.356080238,29105.2445177304,0,,MRT,DOWNTOWN MRT STATION,1.2794919237293936,103.8527930930642
32287.1067650416,33750.2350188289,0,,MRT,GEYLANG BAHRU MRT STATION,1.3214993566424411,103.87184048876986
31298.1810050849,32886.1297190123,0,,MRT,BENDEMEER MRT STATION,1.3136848172313378,103.86295437917242
29859.2075037601,31211.4672693265,0,,MRT,BENCOOLEN MRT STATION,1.2985398814350457,103.850024385721
29215.3951777281,30530.0967692405,0,,MRT,FORT CANNING MRT STATION,1.2923778381229276,103.84423941931416
36371.3465092805,35241.7369192848,0,,MRT,KAKI BUKIT MRT STATION,1.3349871147863956,103.90853992325427
40198.1605403968,37458.300316887,0,,MRT,TAMPINES MRT STATION,1.3550315894701548,103.94292689828005
30445.5921504665,31952.4643182241,0,,MRT,JALAN BESAR MRT STATION,1.3052411568035032,103.85529337037603
33541.1331369041,34351.7322682999,0,,MRT,MATTAR MRT STATION,1.326938881431472,103.88310868142393
34348.7479860685,34286.4474176188,0,,MRT,MACPHERSON MRT STATION,1.326348310993865,103.89036552538947
30862.168277766,29369.8689684219,0,,MRT,BAYFRONT MRT STATION,1.2818850389443084,103.85903626679334
29357.4429829628,31353.131817886,0,,MRT,DHOBY GHAUT MRT STATION,1.2998210716405476,103.84551581450975
25116.6260046845,33303.2991679596,0,,MRT,FARRER ROAD MRT STATION,1.3174575913945625,103.80740998761493
17873.7300695428,35034.8076183004,0,,MRT,JURONG EAST MRT STATION,1.333115184585916,103.74232832345506
37401.5894173968,35219.0396695089,0,,MRT,BEDOK NORTH MRT STATION,1.3347815466689104,103.91779723260906
38993.3521690981,35419.3162683188,0,,MRT,BEDOK RESERVOIR MRT STATION,1.336592238320683,103.93210018964263
27881.0116850948,31822.5908179565,0,,MRT,ORCHARD MRT STATION,1.3040667228697926,103.83224941391704
27711.1811119005,35099.2235682999,0,,MRT,BUKIT BROWN MRT STATION,1.3336994305349439,103.83072337645648
28378.5229613489,40735.930469346,0,,MRT,LENTOR MRT STATION,1.3846757981754547,103.83671989490735
27939.6015348538,38359.1651675634,0,,MRT,BRIGHT HILL MRT STATION,1.3631811847056554,103.83277585763364
26306.0353329819,42218.7685681696,0,,MRT,SPRINGLEAF MRT STATION,1.398086006625169,103.81809693422245
31288.1650105319,28209.9861184784,0,,MRT,MARINA SOUTH PIER MRT STATION,1.2713954246259442,103.86286389197888
34163.1918073649,34228.7858678546,0,,MRT,MACPHERSON MRT STATION,1.325826878686734,103.8886981913608
27595.5550795211,47194.8768300892,0,,MRT,CANBERRA MRT STATION,1.4430881799294908,103.8296842428367
23672.6102959386,45381.0781182384,0,,MRT,WOODLANDS SOUTH MRT STATION,1.4266845133365176,103.79443300457095
22693.4947841539,47784.5369187677,0,,MRT,WOODLANDS NORTH MRT STATION,1.4484203495570829,103.78563430256364
8791.93168346447,33551.2425191465,0,,MRT,GUL CIRCLE MRT STATION,1.3196940123460792,103.66072435422718
6705.85364124209,35833.677517576,0,,MRT,TUAS DEPOT,1.3403340502087098,103.64197836310439
34690.9923136262,36147.7138750086,0,,MRT,TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING,1.3431808624432389,103.89344118401148
22944.4880928657,46396.6699683722,0,,MRT,WOODLANDS MRT STATION,1.4358690349188805,103.78788997783236
23867.6410058591,44642.5321191361,0,,MRT,MANDAI DEPOT,1.420005400685447,103.79618564138201
30336.2353610599,28798.5583189589,0,,MRT,MARINA BAY MRT STATION,1.276718349366734,103.854310514675
28737.3459157647,29291.6641183972,0,,MRT,OUTRAM PARK MRT STATION,1.2811779029321304,103.83994391557123
28021.0179486594,30100.3094677221,0,,MRT,HAVELOCK MRT STATION,1.2884910163031598,103.833507434169
27138.8282249056,33508.5430178683,0,,MRT,STEVENS MRT STATION,1.319313867812927,103.82558050385744
26404.4177587469,32122.0042177961,0,,MRT,NAPIER MRT STATION,1.3067744711330296,103.81898151635865
28193.9869965311,34530.4526682999,0,,MRT,MOUNT PLEASANT MRT STATION,1.3285556687793514,103.83506165933811
29918.5652648196,28895.3408696829,0,,MRT,SHENTON WAY MRT STATION,1.2775936448654333,103.85055760095659
31338.3965860034,28519.0628681593,0,,MRT,MARINA SOUTH MRT STATION,1.2741906009418558,103.86331527249112
31853.5304462311,29066.5984677279,0,,MRT,GARDENS BY THE BAY MRT STATION,1.2791422617936516,103.86794400104569
28030.7263359737,30761.2110683005,0,,MRT,GREAT WORLD MRT STATION,1.294467978155721,103.83359466861634
29189.1380718444,29225.2950187853,0,,MRT,MAXWELL MRT STATION,1.280577670298638,103.84400343908828
30394.626774759,28623.0136674598,0,,MRT,MARINA BAY MRT STATION,1.2751307807752499,103.85483516983135
26914.8520696833,31705.0860186061,0,,MRT,ORCHARD BOULEVARD MRT STATION,1.3030040320414524,103.82356802509962
27774.5464114782,31709.5771670952,0,,MRT,ORCHARD MRT STATION,1.3030446666211837,103.83129277479993
25376.9188508121,28117.2010683008,0,,MRT,TELOK BLANGAH MRT STATION,1.2705563707237022,103.80974928512413
19138.8109017068,39852.3964683015,0,,LRT,TECK WHYE LRT STATION,1.3766840970509473,103.75369435873779
36158.1066625488,43854.0598183004,0,,LRT,TECK LEE LRT STATION,1.4128738786566788,103.9066262157254
29321.5766245497,28763.815468238,0,,MRT,TANJONG PAGAR MRT STATION,1.2764042057909157,103.84519343090024
40606.7492044787,34388.775417361,0,,MRT,TANAH MERAH MRT STATION,1.3272717805646304,103.94659704937033
25109.9977586548,34236.4020183003,0,,MRT,TAN KAH KEE MRT STATION,1.3258962421823532,103.8073503417344
27895.2150623501,37417.3942174285,0,,MRT,UPPER THOMSON MRT STATION,1.3546641436652254,103.83237701839316
28761.6147609988,35485.4927184348,0,,MRT,CALDECOTT MRT STATION,1.3371927036094844,103.84016213201612
28392.1567051889,39343.6867679949,0,,MRT,MAYFLOWER MRT STATION,1.3720848440988864,103.83684238601593
