X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,Latitude,Longitude
28675.6054137293,30926.4778183009,13091,B08,AFT KIM YAM RD,1.2959625852586174,103.83938918836509
38846.0067137294,38164.4763182998,75291,B05,AFT TAMPINES AVE 9,1.3614185068098075,103.93077719466103
13291.1103137294,36961.7814183012,27449,B09,AFT WESTWOOD AVE,1.3505401268828972,103.70115002295867
31085.8992137294,38467.4729183,66211,B03,OPP BLOXHOME DR,1.3641605208392251,103.86104748846888
14979.9636137299,34900.4545183014,21531,B02,CLARIANT S'PORE,1.3318990400873882,103.71632628687708
39673.3494137293,40159.9716183003,77221,B01,BLK 651,1.3794647092570995,103.9382121984318
34157.8125137296,40188.6664183009,64449,B03,OPP HOUGANG G. SHOP MALL,1.3797258933564218,103.88865107615001
30124.6004137294,38439.2912183013,54321,B03,BLK 354,1.3639057401206824,103.85240956134325
32265.9993137298,39747.9230183009,66511,B02,YIO CHU KANG AMENITY CTR,1.3757403052312094,103.87165167552212
26168.1666137297,42696.1613183003,57149,B01,AFT UPP THOMSON RD,1.4024033664565894,103.81685804201575
4473.29221372958,30681.5652182996,26379,NIL,YONG NAM,1.2937388257015894,103.62192152153315
26457.4678137293,35537.1139183007,41159,B08,AFT LORNIE WALK,1.3376595175146955,103.81945802476406
20611.4358137297,36505.7810183,42191,B09,BEF BT BATOK EAST AVE 6,1.346418928262997,103.7669277847484
23847.3888137294,46401.6985183004,46689,B06,BLK 609,1.435914659090732,103.79600340071387
33553.5660137292,40121.2744183,66499,B04,BLK 911,1.3791165452594025,103.88322146344197
38220.3377137296,33958.9156183004,84021,B03,BLK 32,1.3233851803349612,103.92515372695934
41277.2327137291,33338.1144182999,94009,NIL,UPP EAST COAST TER,1.317769709706296,103.9526212446838
30749.0316137299,35766.3652183004,52389,B06,BLK 227,1.3397326992577545,103.85802025673637
20589.0420137299,39246.8178183008,43121,B04,AFT CASHEW TERR,1.3712078660698137,103.76672588378763
14059.3441137299,36134.7466183007,21369,B03,OPP BLK 695,1.3430611039903242,103.70805345376066
21723.1602137294,30177.281518301,16041,B23,OPP LUXE VILLE,1.2891864955848766,103.77691859648745
41055.5265137292,37091.3979183007,76179,B03,OPP BLK 266,1.3517130987087946,103.95063071318604
20337.8305137297,35496.7665183004,42299,B02,AFT TOH TUCK CRES,1.3372936973580174,103.76446952918013
9402.02531372942,31066.1848183013,24461,B01,BEF NAM LEONG CO PTE LTD,1.297220499680495,103.66620782595925
25461.1006137291,33515.9187183008,41109,B04,OPP ST. MARGARET'S SEC SCH,1.3193804778071658,103.81050525064279
34836.3153137295,35418.5541182999,71021,B05,OPP COMFORT TEST CTR,1.3365865715141152,103.89474683417886
12847.0021137297,36075.0519182999,22359,B05,BEF BLK 717,1.342520661524657,103.69715988600379
43256.3261137297,38062.1238183007,97051,B07,OPP CHANGI WOMEN'S PRISON,1.3604909305690356,103.97040674329335
34594.9832137292,37651.9840182997,63081,B14,OPP BLK 241,1.356784960524301,103.89257881388816
33691.5837137299,40047.4707183,64611,B08,BLK 913,1.3784490647895116,103.884461639655
12745.35171373,36730.3952182997,27391,B06,BLK 857,1.3484472850471563,103.69624616765762
32231.9907137295,32602.5733183008,80031,B01,KALLANG STN,1.3111203194981254,103.87134508496383
