X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,latitude,longitude
26168.1666137297,42696.1613183003,57149,B01,AFT UPP THOMSON RD,,
4473.29221372958,30681.5652182996,26379,NIL,YONG NAM,,
26457.4678137293,35537.1139183007,41159,B08,AFT LORNIE WALK,,
20611.4358137297,36505.7810183,42191,B09,BEF BT BATOK EAST AVE 6,,
23847.3888137294,46401.6985183004,46689,B06,BLK 609,,
33553.5660137292,40121.2744183,66499,B04,BLK 911,,
38220.3377137296,33958.9156183004,84021,B03,BLK 32,,
41277.2327137291,33338.1144182999,94009,NIL,UPP EAST COAST TER,,
30749.0316137299,35766.3652183004,52389,B06,BLK 227,,
20589.0420137299,39246.8178183008,43121,B04,AFT CASHEW TERR,,
14059.3441137299,36134.7466183007,21369,B03,OPP BLK 695,,
21723.1602137294,30177.281518301,16041,B23,OPP LUXE VILLE,,
41055.5265137292,37091.3979183007,76179,B03,OPP BLK 266,,
20337.8305137297,35496.7665183004,42299,B02,AFT TOH TUCK CRES,,
9402.02531372942,31066.1848183013,24461,B01,BEF NAM LEONG CO PTE LTD,,
25461.1006137291,33515.9187183008,41109,B04,OPP ST. MARGARET'S SEC SCH,,
34836.3153137295,35418.5541182999,71021,B05,OPP COMFORT TEST CTR,,
12847.0021137297,36075.0519182999,22359,B05,BEF BLK 717,,
43256.3261137297,38062.1238183007,97051,B07,OPP CHANGI WOMEN'S PRISON,,
34594.9832137292,37651.9840182997,63081,B14,OPP BLK 241,,
33691.5837137299,40047.4707183,64611,B08,BLK 913,,
12745.35171373,36730.3952182997,27391,B06,BLK 857,,
32231.9907137295,32602.5733183008,80031,B01,KALLANG STN,,
39294.3043137295,38173.5452183001,75501,UNK,BLK 604A,,
33467.8655137299,39216.3483183011,63381,B13,XINMIN PR SCH,,
22616.7452137293,47793.6811183002,47201,UNK,,,
26477.1728137294,47507.1318183001,58299,B03,BLK 328,,
12639.0649137292,35857.1316183005,22369,B07,BLK 704,,
32332.8889137292,38334.2457183003,66149,B01,AFT YIO CHU KANG RD,,
13487.8480137298,44727.9883182999,33029,B18,AFT NEO TIEW RD,,
34253.0751137296,31424.2614182997,91051,B13,OPP SANTA FE MANSIONS,,
30560.7802137295,33968.9180183001,50991,B01,BLK 82,,
24366.4946137294,28421.3710182998,15149,B02,OPP LABRADOR PK STN,,
39262.9511137297,38168.1212183014,75509,UNK,OPP BLK 601C,,
27126.08911373,31920.7952183001,9191,B01,THE REGENT S'PORE,,
20144.7420137292,40279.5470183007,44401,NIL,OPP BLK 183,,
30422.0152137298,31320.0173183009,1119,B06,AFT BUGIS STN EXIT C,,
37927.3103137296,35509.8413183,84479,B16,BLK 713,,
33263.6503137294,39654.6753183007,64489,B03,BLK 946A,,
18028.4623137293,37071.4726183005,43531,B04,BLK 140,,
30434.4554137299,31386.4475183003,1112,B07,OPP BUGIS STN EXIT C,,
30000.1363137299,45006.7584183011,59781,B09A,AFT YISHUN AVE 6,,
17478.0687137293,40311.242018301,44501,B05,BLK 426,,
31697.1030137297,38799.974518301,66251,B01,OPP KINGSWEAR AVE,,
14050.2637137296,34733.3984182999,21331,B10,OPP PREMIER MILK PTE LTD,,
17938.8620137293,34014.0490183011,20061,B02,AFT JURONG TOWN HALL RD,,
37567.6555137299,32559.9962183014,93059,B12,AFT JLN BUROH PERINDU,,
36359.22891373,41013.8515183013,67521,B05,BLK 160,,
